CODIGO MUNICIPIO;LATITUDE;LONGITUDE;;;;;CÓDIGO MUNICÍPIO;UF;NOME MUNICIPIO;LAT;LONG
160025;-0.59;-50.67;;;;;160027;AP;Laranjal do Jari;-0.84;-52.51
160027;-0.84;-52.51;;;;;160030;AP;Macapá;0.03;-51.06
160030;0.03;-51.06;;;;;160040;AP;Mazagão;-0.11;-51.28
160040;-0.11;-51.28;;;;;160050;AP;Oiapoque;3.84;-51.83
160050;3.84;-51.83;;;;;160053;AP;Porto Grande;0.71;-51.41
160053;0.71;-51.41;;;;;160055;AP;Pracuúba;1.74;-50.79
160055;1.74;-50.79;;;;;160060;AP;Santana;-0.05;-51.18
160060;-0.05;-51.18;;;;;160070;AP;Tartarugalzinho;1.5;-50.91
160070;1.5;-50.91;;;;;160080;AP;Vitória do Jari;-0.93;-52.42
160080;-0.93;-52.42;;;;;170025;TO;Abreulândia;-9.62;-49.15
170025;-9.62;-49.15;;;;;170030;TO;Aguiarnópolis;-6.56;-47.46
170030;-6.56;-47.46;;;;;170035;TO;Aliança do Tocantins;-11.3;-48.93
170035;-11.3;-48.93;;;;;170040;TO;Almas;-11.57;-47.16
170040;-11.57;-47.16;;;;;170070;TO;Alvorada;-12.47;-49.12
170070;-12.47;-49.12;;;;;170100;TO;Ananás;-6.36;-48.07
170100;-6.36;-48.07;;;;;170105;TO;Angico;-6.38;-47.86
170105;-6.38;-47.86;;;;;170110;TO;Aparecida do Rio Negro;-9.95;-47.97
170110;-9.95;-47.97;;;;;170130;TO;Aragominas;-7.16;-48.52
170130;-7.16;-48.52;;;;;170190;TO;Araguacema;-8.8;-49.55
170190;-8.8;-49.55;;;;;170200;TO;Araguaçu;-12.93;-49.82
170200;-12.93;-49.82;;;;;170210;TO;Araguaína;-7.19;-48.2
170210;-7.19;-48.2;;;;;170215;TO;Araguanã;-6.58;-48.64
170215;-6.58;-48.64;;;;;170220;TO;Araguatins;-5.65;-48.12
170220;-5.65;-48.12;;;;;170230;TO;Arapoema;-7.65;-49.06
170230;-7.65;-49.06;;;;;170240;TO;Arraias;-12.93;-46.93
170240;-12.93;-46.93;;;;;170255;TO;Augustinópolis;-5.46;-47.88
170255;-5.46;-47.88;;;;;170270;TO;Aurora do Tocantins;-12.71;-46.4
170270;-12.71;-46.4;;;;;170290;TO;Axixá do Tocantins;-5.61;-47.76
170290;-5.61;-47.76;;;;;170300;TO;Babaçulândia;-7.2;-47.75
170300;-7.2;-47.75;;;;;170305;TO;Bandeirantes do Tocantins;-7.75;-48.58
170305;-7.75;-48.58;;;;;170307;TO;Barra do Ouro;-7.68;-47.68
170307;-7.68;-47.68;;;;;170310;TO;Barrolândia;-9.83;-48.72
170310;-9.83;-48.72;;;;;170320;TO;Bernardo Sayão;-7.87;-48.88
170320;-7.87;-48.88;;;;;170330;TO;Bom Jesus do Tocantins;-8.96;-48.16
170330;-8.96;-48.16;;;;;170360;TO;Brasilândia do Tocantins;-8.38;-48.48
